id,department_name,manager_id,description
100,Business Development,717,odio condimentum id luctus nec molestie sed justo pellentesque viverra
101,Support,354,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
102,Marketing,715,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
103,Product Management,150,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
104,Human Resources,2,sed tristique in tempus sit amet sem fusce consequat nulla nisl
105,Accounting,936,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
106,Services,985,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
107,Training,546,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
108,Engineering,723,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
109,Sales,611,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
110,Research and Development,431,donec quis orci eget orci vehicula condimentum curabitur in libero
111,Legal,427,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
